symbol,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,spread_cost,slippage_cost,hold_bars,entry_reason,exit_reason
RIOT,2026-01-02 20:55:00+00:00,2026-01-02 20:56:00+00:00,14.056750000000001,14.111471250000001,2845,155.68195625000016,84.78125739924143,29.24304374999997,20.073567853125002,1,entry_signal,breakeven_protect
SMCI,2026-01-05 14:50:00+00:00,2026-01-05 15:02:00+00:00,31.142783750000003,30.7901,1285,-453.1986187500054,-515.2283400516806,20.92461875000011,19.78263925,12,entry_signal,hard_stop
AFRM,2026-01-06 11:16:00+00:00,2026-01-06 11:20:00+00:00,80.64015500000001,81.01974000000001,394,149.5564900000023,100.8331512688343,15.923510000000002,15.960888780000005,4,entry_signal,partial_target
MSTR,2026-01-07 09:00:00+00:00,2026-01-07 09:02:00+00:00,167.04175,167.378145,238,80.06200999999567,19.22110373641766,19.89799,19.917999255,2,entry_signal,breakeven_protect
RIOT,2026-01-07 20:25:00+00:00,2026-01-07 20:26:00+00:00,14.9737425,14.96,2130,-29.27152499999856,-78.32810720249856,7.966200000000001,15.932400000000001,0,entry_signal,eod_flatten
MARA,2026-01-08 15:47:00+00:00,2026-01-08 15:48:00+00:00,10.22355525,10.17,3117,-166.93171425000156,-216.6502132991265,8.571749999999957,15.849945,0,entry_signal,eod_flatten
HOOD,2026-01-09 15:43:00+00:00,2026-01-09 15:44:00+00:00,115.48886499999999,115.353,275,-37.36287499999875,-85.89954887249874,7.93051875,15.8610375,0,entry_signal,eod_flatten
MARA,2026-01-09 15:48:00+00:00,2026-01-09 15:49:00+00:00,10.297995,10.27,3085,-86.36457500000203,-136.64391579750188,7.9207374999999995,15.841474999999999,0,entry_signal,eod_flatten
RIOT,2026-01-09 15:53:00+00:00,2026-01-09 15:54:00+00:00,15.59889875,15.585,2034,-28.270057499998337,-77.05801347074834,7.924972500000001,15.849945000000002,0,entry_signal,eod_flatten
